protocol,chain,market,name,inputToken,timestamp,blockNumber,totalValueLockedUSD,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyBorrowUSD,exchangeRate,rewardToken_1,rewardToken_2,rewardTokenEmissionsUSD_1,rewardTokenEmissionsUSD_2
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642027899,13993525,1913235636.254894208211138882768507,134543.9633083662296592423495707874,14949.32925648513662880470550786525,149493.2925648513662880470550786525,134543.9633083662296592423495707874,4264743.538476849105878638390091156,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,46364.10428290968059646634248365958,23182.05214145484029823317124182979
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642115313,14000035,1899914094.570456060266381633283389,131014.3602252795595983064269496726,14557.15113614217328870071410551918,145571.5113614217328870071410551918,131014.3602252795595983064269496726,262242.9090306218853208215683613426,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,43950.31109878991539042746691128293,21975.15554939495769521373345564146
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642200637,14006424,1754505526.594769645136512732151884,124961.2247602367348013625641040875,13884.58052891519275570695156712083,138845.8052891519275570695156712083,124961.2247602367348013625641040875,12997528.91041457077047167446898118,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,46395.78135861532719904648390941596,23197.89067930766359952324195470798
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642288015,14012953,1757773641.095148030840864085770164,121301.1714214731846443782685968175,13477.90793571924273826425206631306,134779.0793571924273826425206631306,121301.1714214731846443782685968175,2383723.546528887932193163219307222,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,49933.65991616510837663293180325893,24966.82995808255418831646590162947
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642376155,14019583,1782616004.902359504681190307886707,123690.8716586869127391798156429602,13743.43018429854585990886840477335,137434.3018429854585990886840477335,123690.8716586869127391798156429602,21259284.70692880055034614731295154,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,49897.45602310430130459359884027594,24948.72801155215065229679942013797
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642463555,14026132,1772418780.549637767122992768347723,123101.9802304924017976482021727303,13677.99780338804464418313357474781,136779.9780338804464418313357474781,123101.9802304924017976482021727303,291540.6934587423134273122690806733,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,47475.05265965037222436592446306059,23737.52632982518611218296223153029
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642550324,14032627,1764008480.39497434329086874068389,120976.6245312290068147891773327652,13441.84717013655631275435303697392,134418.4717013655631275435303697392,120976.6245312290068147891773327652,196695.4994865731982833168839862833,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,48944.42554232526251232383888452215,24472.21277116263125616191944226107
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642636634,14039086,1766987260.067191389882012310232346,119861.2810695603406054954793976709,13317.92011884003784505505326640788,133179.2011884003784505505326640788,119861.2810695603406054954793976709,958997.8055435360812350640157537223,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,44061.14639482651739996235876062706,22030.57319741325869998117938031353
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642723188,14045590,1757865557.648185226040518775426514,120578.1479935644273551330152919521,13397.57199928493637279255725466136,133975.7199928493637279255725466136,120578.1479935644273551330152919521,288309.6042751628924903351391463039,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,41813.15211205301436006090649306606,20906.57605602650718003045324653303
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642809235,14051958,1745679545.584438134929497604790701,120092.130881847132012314650302769,13343.57009798301466803496114475212,133435.7009798301466803496114475212,120092.130881847132012314650302769,16447455.31568355621817074378006502,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,35030.331791055485124773448609275,17515.1658955277425623867243046375
